,Country,Year,HOUSE_OVERCROWD,HOUSE_COST_BURDEN,HOUSE_SANITARY_X
178,FRA,2022,7.42706134915352,11.2495303153992,
179,GBR,2010,1.43257519230247,23.8643109798431,0.0
180,GBR,2011,1.97145752608776,20.0797900557518,0.126582617
181,GBR,2012,1.55910486355424,17.7879512310028,0.168274425
182,GBR,2013,1.55340377241373,18.3533802628517,0.630340911
183,GBR,2014,1.44051127135754,17.1417862176895,0.272201304
184,GBR,2015,1.12544987350702,16.3557469844818,0.689025037
185,GBR,2016,1.04347998276353,17.1130985021591,0.356730889
186,GBR,2017,1.1184754781425,16.5371164679527,0.027074083
187,GBR,2018,0.865007378160954,16.3634553551674,0.569316605
188,GBR,2019,0.857434514909983,17.7878811955452,0.0
189,GBR,2020,0.76571055687964,18.4971109032631,0.0
190,GRC,2010,19.0945625305176,27.4314254522324,2.238912135
191,GRC,2011,18.9792782068253,35.2254450321198,2.525157854
192,GRC,2012,19.9897781014442,41.3052082061768,0.704271812
193,GRC,2013,18.6488971114159,43.9475506544113,1.224760711
194,GRC,2014,18.6581268906593,41.875809431076,0.641086278
195,GRC,2015,18.2267114520073,39.5339041948318,0.591627136
196,GRC,2016,18.0864721536636,41.5390014648438,0.655463245
197,GRC,2017,17.7898079156876,37.9534810781479,0.579206878
198,GRC,2018,17.9696246981621,31.2073737382889,0.670897122
199,GRC,2019,18.0761218070984,29.1953563690186,0.614271266
200,GRC,2020,17.9050490260124,24.3270680308342,0.823028665
201,GRC,2021,18.217907845974,30.4749250411987,
202,GRC,2022,17.9471060633659,25.2614080905914,
203,HUN,2010,35.3726327419281,,24.4022727
204,HUN,2011,35.5219781398773,,20.94268501
205,HUN,2012,35.1257860660553,16.0890728235245,22.88547307
206,HUN,2013,33.3227455615997,19.4946646690369,21.84997499
207,HUN,2014,29.5991867780685,17.237563431263,20.95829993
208,HUN,2015,27.8641015291214,15.5020251870155,19.40833777
209,HUN,2016,27.2100448608398,16.7577639222145,16.57604277
210,HUN,2017,26.8814921379089,21.6598734259605,13.07464093
211,HUN,2018,12.5504732131958,18.5179069638252,17.73459315
212,HUN,2019,11.2888976931572,18.2373568415642,14.5120725
213,HUN,2020,10.9211780130863,10.5683982372284,8.97006765
214,HUN,2021,9.99553427100182,31.2974154949188,
215,HUN,2022,8.93457606434822,35.4811280965805,
216,IRL,2010,2.23791506141424,10.1655282080173,0.893466081
217,IRL,2011,1.20913544669747,14.4570976495743,2.873428725
