Country,Date,Total Asset
CA,2003-12,34.32
CA,2004-01,31.02
CA,2004-02,30.92
CA,2004-03,32.41
CA,2004-04,30.86
CA,2004-05,32.29
CA,2004-06,33.35
CA,2004-07,33.73
CA,2004-08,34.6
CA,2004-09,34.49
CA,2004-10,36.44
CA,2004-11,38.22
CA,2004-12,38.77
CA,2005-01,35.51
CA,2005-02,35.58
CA,2005-03,36.36
CA,2005-04,35.35
CA,2005-05,36.86
CA,2005-06,37.69
CA,2005-07,37.7
CA,2005-08,39.93
CA,2005-09,39.06
CA,2005-10,38.92
CA,2005-11,40.24
CA,2005-12,41.53
CA,2006-01,39.67
CA,2006-02,40.11
CA,2006-03,39.21
CA,2006-04,41.53
CA,2006-05,43.97
CA,2006-06,43.79
CA,2006-07,42.9
CA,2006-08,45.04
CA,2006-09,44.3
CA,2006-10,45.5
CA,2006-11,44.78
CA,2006-12,44.49
CA,2007-01,40.78
CA,2007-02,41.19
CA,2007-03,42.05
CA,2007-04,44.02
CA,2007-05,48.84
CA,2007-06,49.25
CA,2007-07,47.64
CA,2007-08,49.89
CA,2007-09,52.12
CA,2007-10,54.02
CA,2007-11,53.17
CA,2007-12,54.91
CA,2008-01,50.08
CA,2008-02,50.9
CA,2008-03,51.42
CA,2008-04,52.57
CA,2008-05,53.85
CA,2008-06,52.18
CA,2008-07,53.27
CA,2008-08,52.08
CA,2008-09,54.0
CA,2008-10,55.33
CA,2008-11,63.68
CA,2008-12,64.34
CA,2009-01,63.62
CA,2009-02,63.8
CA,2009-03,64.78
CA,2009-04,63.34
CA,2009-05,65.19
CA,2009-06,66.01
CA,2009-07,73.13
CA,2009-08,68.25
CA,2009-09,70.67
CA,2009-10,69.63
CA,2009-11,70.17
CA,2009-12,67.95
CA,2010-01,66.53
CA,2010-02,67.3
CA,2010-03,70.27
CA,2010-04,70.48
CA,2010-05,63.17
CA,2010-06,56.58
CA,2010-07,57.41
CA,2010-08,55.75
CA,2010-09,56.22
CA,2010-10,57.01
CA,2010-11,58.34
CA,2010-12,61.07
CA,2011-01,58.53
CA,2011-02,59.3
CA,2011-03,59.18
CA,2011-04,61.47
CA,2011-05,64.41
CA,2011-06,62.82
CA,2011-07,63.78
CA,2011-08,64.58
CA,2011-09,58.64
CA,2011-10,62.9
CA,2011-11,62.56
CA,2011-12,62.91
CA,2012-01,63.73
CA,2012-02,66.12
CA,2012-03,68.6
CA,2012-04,69.94
CA,2012-05,69.02
CA,2012-06,69.43
CA,2012-07,71.53
CA,2012-08,73.4
CA,2012-09,74.67
CA,2012-10,74.73
CA,2012-11,75.86
CA,2012-12,78.14
CA,2013-01,77.24
CA,2013-02,77.42
CA,2013-03,79.94
CA,2013-04,82.75
CA,2013-05,85.14
CA,2013-06,83.96
CA,2013-07,86.78
CA,2013-08,83.73
CA,2013-09,85.18
CA,2013-10,86.05
CA,2013-11,85.37
CA,2013-12,85.83
CA,2014-01,80.39
CA,2014-02,80.64
CA,2014-03,79.92
CA,2014-04,83.01
CA,2014-05,85.96
CA,2014-06,85.81
CA,2014-07,85.97
CA,2014-08,84.63
CA,2014-09,83.5
CA,2014-10,83.1
