,Country,Year,HOUSE_COST_BURDEN
164,JPN,2020,18.954248726368
165,JPN,2021,19.0476194024086
166,CHL,2011,19.1212132573128
167,CHL,2013,20.8587050437927
168,CHL,2015,27.7767360210419
169,CHL,2017,36.1220508813858
170,CHL,2022,46.2275356054306
171,USA,2010,32.2975993156433
172,USA,2011,32.8993082046509
173,USA,2012,31.7213982343674
174,USA,2013,30.9224635362625
175,USA,2014,30.4887712001801
176,USA,2015,29.3868988752365
177,USA,2016,28.8052260875702
178,USA,2017,28.0425280332565
179,USA,2018,28.1191110610962
180,USA,2019,26.8353223800659
181,USA,2020,26.5573799610138
182,USA,2021,28.9848268032074
183,SVK,2010,6.43948242068291
184,SVK,2011,8.68621319532394
185,SVK,2012,7.30771720409393
186,SVK,2013,6.64942339062691
187,SVK,2014,8.55408385396004
