,Country,Year,YOUTH_NOT_EMPLOY
366,HUN,2011,14.031835
367,HUN,2012,14.110998
368,HUN,2013,16.730047
369,HUN,2014,14.218555
370,HUN,2015,12.832372
371,HUN,2016,11.856912
372,HUN,2017,11.210251
373,HUN,2018,11.418577
374,HUN,2019,11.008507
375,HUN,2020,11.307701
376,HUN,2021,11.778868
377,HUN,2022,10.005659
378,ESP,2004,12.336392
379,ESP,2005,15.811561
380,ESP,2006,14.01998
381,ESP,2007,14.580942
382,ESP,2008,15.473826
383,ESP,2009,20.514471
384,ESP,2010,20.777012
385,ESP,2011,21.265608
386,ESP,2012,21.789431
387,ESP,2013,22.40856
388,ESP,2014,19.796844
389,ESP,2015,18.414122
390,ESP,2016,17.222164
391,ESP,2017,15.728744
392,ESP,2018,15.319123
393,ESP,2019,14.723445
394,ESP,2020,14.834249
395,ESP,2021,14.962555
396,ESP,2022,12.963462
397,LTU,2005,8.8341198
398,LTU,2010,14.017818
399,LTU,2014,10.189408
400,LTU,2015,10.825675
401,LTU,2016,9.0652514
402,LTU,2017,9.7945995
403,LTU,2018,9.0035563
404,LTU,2019,9.1115379
405,LTU,2020,10.471503
406,LTU,2021,11.594427
407,LTU,2022,11.534064
408,ITA,2004,17.698832
409,ITA,2005,17.976723
410,ITA,2006,17.556297
411,ITA,2007,16.576384
412,ITA,2008,15.927045
413,ITA,2009,18.126347
414,ITA,2010,19.963196
415,ITA,2011,20.136906
416,ITA,2012,22.118876
417,ITA,2013,22.908495
418,ITA,2014,23.546589
419,ITA,2015,23.05364
420,ITA,2016,21.099983
421,ITA,2017,20.306906
422,ITA,2018,19.678982
423,ITA,2019,19.714653
424,ITA,2020,19.114475
425,ITA,2021,21.426189
426,ITA,2022,20.248281
427,CRI,2013,19.971151
428,CRI,2014,18.734764
429,CRI,2015,19.772619
430,CRI,2016,21.75012
431,CRI,2017,20.321682
432,CRI,2018,21.808647
433,CRI,2019,20.343336
434,CRI,2020,17.408918
435,CRI,2021,25.193876
436,CRI,2022,20.43247
437,ZAF,2013,31.965597
438,ZAF,2014,31.313044
439,ZAF,2015,30.499132
440,ZAF,2016,31.221783
441,ZAF,2017,31.153654
442,ZAF,2018,31.564072
443,ZAF,2019,32.460289
444,ZAF,2020,32.524227
445,ZAF,2021,32.878059
446,BRA,2007,19.037571
447,BRA,2008,18.088778
448,BRA,2009,18.593664
449,BRA,2011,18.302567
450,BRA,2012,19.286877
451,BRA,2013,19.61717
452,BRA,2014,19.278502
453,BRA,2015,21.810431
454,BRA,2016,23.264563
455,BRA,2017,24.842489
456,BRA,2018,24.677414
457,BRA,2019,23.726408
458,BRA,2020,27.31827
459,TUR,2004,41.400513
460,TUR,2005,42.498238
461,TUR,2006,41.445206
462,TUR,2007,39.967896
463,TUR,2008,41.192337
464,TUR,2009,36.660599
465,TUR,2010,33.794964
466,TUR,2011,31.60216
467,TUR,2013,28.406239
468,TUR,2014,28.116983
469,TUR,2015,25.380005
470,TUR,2016,25.077641
471,TUR,2017,23.646242
472,TUR,2018,22.921755
473,TUR,2019,24.947416
474,TUR,2021,24.701513
475,TUR,2022,24.995558
476,COL,2007,26.270092
477,COL,2008,25.037582
478,COL,2009,24.476496
479,COL,2010,23.437134
480,COL,2011,23.025991
481,COL,2012,22.531923
482,COL,2013,22.0839
483,COL,2014,21.401949
484,COL,2015,21.140781
485,COL,2016,21.130569
486,COL,2017,21.835337
487,COL,2018,22.840654
488,COL,2019,23.916656
489,COL,2020,29.099663
490,COL,2021,26.83823
491,COL,2022,24.423405
492,NOR,2004,6.2705932
493,NOR,2005,5.9246869
494,NOR,2006,6.1161022
495,NOR,2007,6.0851927
496,NOR,2008,5.443748
497,NOR,2009,6.6946959
498,NOR,2010,6.2203979
499,NOR,2011,6.8104777
500,NOR,2012,6.8955045
501,NOR,2013,7.3082705
502,NOR,2014,7.1706781
503,NOR,2015,6.5927482
504,NOR,2016,7.2781954
505,NOR,2017,6.6466165
506,NOR,2018,6.5111527
507,NOR,2019,6.2094436
508,NOR,2020,6.6490498
509,NOR,2021,6.7141423
510,NOR,2022,5.4773083
511,NLD,2004,5.7204533
512,NLD,2005,5.5198283
513,NLD,2006,4.0748897
514,NLD,2007,5.2568974
515,NLD,2008,3.814002
516,NLD,2009,5.7242746
517,NLD,2010,5.2388291
518,NLD,2011,5.1741805
519,NLD,2012,4.8124204
520,NLD,2013,6.4489193
521,NLD,2014,6.0491958
522,NLD,2015,5.0080619
523,NLD,2016,5.1832385
524,NLD,2017,4.496541
525,NLD,2018,4.3980155
526,NLD,2019,4.3164787
527,NLD,2020,4.4303203
528,NLD,2021,3.6002455
529,NLD,2022,3.145184
530,CHE,2004,9.1288614
531,CHE,2005,9.6870956
532,CHE,2006,9.1817484
533,CHE,2007,9.2560263
534,CHE,2008,9.2586641
535,CHE,2009,9.546423
536,CHE,2017,7.0242944
537,CHE,2018,7.2374721
538,CHE,2019,6.3053041
539,CHE,2020,6.9242945
540,CHE,2021,11.686345
541,ISL,2004,6.063859
542,ISL,2005,5.1024284
543,ISL,2006,5.1368403
544,ISL,2007,4.665853
545,ISL,2008,5.3323913
546,ISL,2009,10.036972
547,ISL,2010,9.6827993
548,ISL,2011,9.3661766
549,ISL,2012,8.7188425
550,ISL,2013,7.3430262
551,ISL,2014,7.6643434
552,ISL,2015,5.8031359
553,ISL,2016,5.4077287
554,ISL,2017,5.3764696
555,ISL,2018,6.1412406
556,ISL,2019,5.6460905
557,ISL,2020,8.2441473
558,ISL,2021,6.5080671
559,ISL,2022,5.1727757
560,GBR,2004,11.854926
561,GBR,2005,13.010754
562,GBR,2006,14.496525
563,GBR,2007,14.326434
564,GBR,2008,14.214196
565,GBR,2009,14.510193
566,GBR,2010,14.811485
567,GBR,2011,14.526379
568,GBR,2012,15.205557
569,GBR,2013,14.36874
570,GBR,2014,12.989417
571,GBR,2015,12.409659
572,GBR,2016,11.925607
573,GBR,2017,10.967877
574,GBR,2018,12.039447
575,GBR,2019,11.567747
576,GBR,2020,12.120265
577,GBR,2021,11.487399
578,GBR,2022,10.351273
579,LVA,2004,14.560471
580,LVA,2005,12.952822
581,LVA,2006,11.317369
582,LVA,2007,11.470664
583,LVA,2008,10.134067
584,LVA,2009,17.671797
585,LVA,2010,19.46158
586,LVA,2011,15.298793
587,LVA,2012,14.714539
588,LVA,2013,11.593665
589,LVA,2014,11.342143
590,LVA,2015,9.0240812
591,LVA,2016,11.901421
592,LVA,2017,11.974056
593,LVA,2018,8.5120964
594,LVA,2019,8.1775236
595,LVA,2020,9.4070539
596,LVA,2021,10.872853
597,LVA,2022,8.4470682
598,DNK,2004,6.5983162
599,DNK,2005,6.2207618
600,DNK,2006,5.1015997
601,DNK,2007,5.9599805
602,DNK,2008,6.5681114
603,DNK,2009,8.0297651
604,DNK,2010,10.05693
605,DNK,2011,10.110878
606,DNK,2012,11.284292
607,DNK,2013,10.574966
608,DNK,2014,10.519432
609,DNK,2015,9.2216911
610,DNK,2016,7.586339
611,DNK,2017,10.453158
612,DNK,2018,9.0613146
613,DNK,2019,8.8606739
614,DNK,2020,9.2938147
615,DNK,2021,8.4218025
616,DNK,2022,7.878406
617,MEX,2004,21.80872
618,MEX,2005,21.152912
619,MEX,2006,20.727236
620,MEX,2007,20.747299
621,MEX,2008,21.220709
622,MEX,2009,22.2279
623,MEX,2010,21.496744
624,MEX,2011,21.915434
625,MEX,2012,20.753096
626,MEX,2013,20.062527
627,MEX,2014,19.923716
628,MEX,2015,19.633341
629,MEX,2016,19.36759
630,MEX,2017,18.571112
631,MEX,2018,18.180202
632,MEX,2019,18.293638
633,MEX,2020,19.488197
634,MEX,2021,18.056303
635,MEX,2022,17.14533
636,CZE,2004,12.408266
637,CZE,2005,11.168757
638,CZE,2006,9.4854412
639,CZE,2007,7.1030636
640,CZE,2008,6.8180914
641,CZE,2009,8.6053057
642,CZE,2010,9.0440845
643,CZE,2011,8.7363958
644,CZE,2012,9.2295465
645,CZE,2013,9.4525909
646,CZE,2014,8.4155769
647,CZE,2015,7.9521012
648,CZE,2016,7.2767863
649,CZE,2017,6.6407318
650,CZE,2018,5.7936506
651,CZE,2019,5.4700828
652,CZE,2020,6.0025053
653,CZE,2021,7.5340462
654,CZE,2022,8.7423601
655,AUT,2004,10.977864
656,AUT,2005,10.149777
657,AUT,2006,9.870388
658,AUT,2007,8.7249842
659,AUT,2008,8.9309807
660,AUT,2009,9.3495245
661,AUT,2010,9.6174564
662,AUT,2011,8.4380751
663,AUT,2012,8.3957586
664,AUT,2013,8.7804279
665,AUT,2014,9.7838001
666,AUT,2015,8.9864054
667,AUT,2016,9.6967039
668,AUT,2017,8.7978764
669,AUT,2018,9.2202759
670,AUT,2019,8.9372196
671,AUT,2020,10.09
672,AUT,2021,9.6354876
673,AUT,2022,8.9778719
