Country,Date,Interest Rate
CO,2004-02,7.0
CO,2004-03,6.75
CO,2004-04,6.75
CO,2004-05,6.75
CO,2004-06,6.75
CO,2004-07,6.75
CO,2004-08,6.75
CO,2004-09,6.75
CO,2004-10,6.75
CO,2004-11,6.75
CO,2004-12,6.5
CO,2005-01,6.5
CO,2005-02,6.5
CO,2005-03,6.5
CO,2005-04,6.5
CO,2005-05,6.5
CO,2005-06,6.5
CO,2005-07,6.5
CO,2005-08,6.5
CO,2005-09,6.0
CO,2005-10,6.0
CO,2005-11,6.0
CO,2005-12,6.0
CO,2006-01,6.0
CO,2006-02,6.0
CO,2006-03,6.0
CO,2006-04,6.0
CO,2006-05,6.25
CO,2006-06,6.5
CO,2006-07,6.5
CO,2006-08,6.75
CO,2006-09,6.75
CO,2006-10,7.25
CO,2006-11,7.25
CO,2006-12,7.5
CO,2007-01,7.75
CO,2007-02,8.0
CO,2007-03,8.25
CO,2007-04,8.25
CO,2007-05,8.75
CO,2007-06,9.0
CO,2007-07,9.25
CO,2007-08,9.25
CO,2007-09,9.25
CO,2007-10,9.25
CO,2007-11,9.5
CO,2007-12,9.5
CO,2008-01,9.5
CO,2008-02,9.75
CO,2008-03,9.75
CO,2008-04,9.75
CO,2008-05,9.75
CO,2008-06,9.75
CO,2008-07,10.0
CO,2008-08,10.0
CO,2008-09,10.0
CO,2008-10,10.0
CO,2008-11,10.0
CO,2008-12,9.5
CO,2009-01,9.5
CO,2009-02,9.0
CO,2009-03,7.0
CO,2009-04,7.0
CO,2009-05,6.0
CO,2009-06,4.5
CO,2009-07,4.5
CO,2009-08,4.5
CO,2009-09,4.0
CO,2009-10,4.0
CO,2009-11,3.5
CO,2009-12,3.5
CO,2010-01,3.5
CO,2010-02,3.5
CO,2010-03,3.5
CO,2010-04,3.5
CO,2010-05,3.0
CO,2010-06,3.0
CO,2010-07,3.0
CO,2010-08,3.0
CO,2010-09,3.0
CO,2010-10,3.0
CO,2010-11,3.0
CO,2010-12,3.0
CO,2011-01,3.0
CO,2011-02,3.25
CO,2011-03,3.5
CO,2011-04,3.5
CO,2011-05,4.0
CO,2011-06,4.25
CO,2011-07,4.25
CO,2011-08,4.5
CO,2011-09,4.5
CO,2011-10,4.5
CO,2011-11,4.75
CO,2011-12,4.75
CO,2012-01,5.0
CO,2012-02,5.25
CO,2012-03,5.25
CO,2012-04,5.25
CO,2012-05,5.25
CO,2012-06,5.25
CO,2012-07,5.0
CO,2012-08,4.75
CO,2012-09,4.75
CO,2012-10,4.75
CO,2012-11,4.5
CO,2012-12,4.25
CO,2013-01,4.0
CO,2013-02,3.75
CO,2013-03,3.25
CO,2013-04,3.25
CO,2013-05,3.25
CO,2013-06,3.25
CO,2013-07,3.25
CO,2013-08,3.25
CO,2013-09,3.25
CO,2013-10,3.25
CO,2013-11,3.25
CO,2013-12,3.25
CO,2014-01,3.25
CO,2014-02,3.25
CO,2014-03,3.25
CO,2014-04,3.5
CO,2014-05,3.5
CO,2014-06,4.0
CO,2014-07,4.0
CO,2014-08,4.25
CO,2014-09,4.5
CO,2014-10,4.5
CO,2014-11,4.5
CO,2014-12,4.5
CO,2015-01,4.5
CO,2015-02,4.5
CO,2015-03,4.5
CO,2015-04,4.5
CO,2015-05,4.5
CO,2015-06,4.5
CO,2015-07,4.5
CO,2015-08,4.5
CO,2015-09,4.75
CO,2015-10,4.75
CO,2015-11,5.5
CO,2015-12,5.75
CO,2016-01,5.75
CO,2016-02,6.25
CO,2016-03,6.5
CO,2016-04,6.5
CO,2016-05,7.25
CO,2016-06,7.5
CO,2016-07,7.5
CO,2016-08,7.75
CO,2016-09,7.75
CO,2016-10,7.75
CO,2016-11,7.75
CO,2016-12,7.5
CO,2017-01,7.5
CO,2017-02,7.25
CO,2017-03,7.0
CO,2017-04,7.0
CO,2017-05,6.25
CO,2017-06,6.25
CO,2017-07,5.5
CO,2017-08,5.5
CO,2017-09,5.25
CO,2017-10,5.0
CO,2017-11,4.75
CO,2017-12,4.75
CO,2018-01,4.5
CO,2018-02,4.5
CO,2018-03,4.5
CO,2018-04,4.25
CO,2018-05,4.25
CO,2018-06,4.25
CO,2018-07,4.25
CO,2018-08,4.25
CO,2018-09,4.25
CO,2018-10,4.25
CO,2018-11,4.25
CO,2018-12,4.25
CO,2019-01,4.25
CO,2019-02,4.25
CO,2019-03,4.25
CO,2019-04,4.25
CO,2019-05,4.25
CO,2019-06,4.25
CO,2019-07,4.25
CO,2019-08,4.25
CO,2019-09,4.25
CO,2019-10,4.25
CO,2019-11,4.25
CO,2019-12,4.25
CO,2020-01,4.25
CO,2020-02,4.25
CO,2020-03,3.75
CO,2020-04,3.75
CO,2020-05,3.25
CO,2020-06,2.75
CO,2020-07,2.5
CO,2020-08,2.25
CO,2020-09,1.75
CO,2020-10,1.75
CO,2020-11,1.75
CO,2020-12,1.75
CO,2021-01,1.75
CO,2021-02,1.75
CO,2021-03,1.75
CO,2021-04,1.75
CO,2021-05,1.75
CO,2021-06,1.75
CO,2021-07,1.75
CO,2021-08,1.75
CO,2021-09,1.75
CO,2021-10,2.0
CO,2021-11,2.5
CO,2021-12,3.0
CO,2022-01,4.0
CO,2022-02,4.0
CO,2022-03,4.0
CO,2022-04,5.0
CO,2022-05,6.0
CO,2022-06,6.0
CO,2022-07,7.5
CO,2022-08,9.0
CO,2022-09,10.0
CO,2022-10,11.0
CO,2022-11,11.0
CO,2022-12,12.0
CO,2023-01,12.75
CO,2023-02,12.75
CO,2023-03,13.0
CO,2023-04,13.0
CO,2023-05,13.25
CO,2023-06,13.25
CO,2023-07,13.25
CO,2023-08,13.25
CO,2023-09,13.25
CO,2023-10,13.25
CO,2023-11,13.25
CO,2023-12,13.0
CO,2024-01,13.0
CO,2024-02,12.75
CO,2024-03,12.25
CO,2024-04,12.25
CO,2024-05,11.75
CO,2024-06,11.75
CO,2024-07,11.25
CO,2024-08,10.75
CO,2024-09,10.75
CO,2024-10,10.25
CN,2000-01,5.85
CN,2000-02,5.85
CN,2000-03,5.85
CN,2000-04,5.85
CN,2000-05,5.85
CN,2000-06,5.85
CN,2000-07,5.85
CN,2000-08,5.85
CN,2000-09,5.85
CN,2000-10,5.85
CN,2000-11,5.85
CN,2000-12,5.85
CN,2001-01,5.85
CN,2001-02,5.85
CN,2001-03,5.85
CN,2001-04,5.85
CN,2001-05,5.85
CN,2001-06,5.85
CN,2001-07,5.85
CN,2001-08,5.85
CN,2001-09,5.85
CN,2001-10,5.85
CN,2001-11,5.85
CN,2001-12,5.85
CN,2002-01,5.85
CN,2002-02,5.31
CN,2002-03,5.31
CN,2002-04,5.31
CN,2002-05,5.31
CN,2002-06,5.31
CN,2002-07,5.31
CN,2002-08,5.31
CN,2002-09,5.31
CN,2002-10,5.31
CN,2002-11,5.31
CN,2002-12,5.31
CN,2003-01,5.31
CN,2003-02,5.31
CN,2003-03,5.31
CN,2003-04,5.31
CN,2003-05,5.31
CN,2003-06,5.31
CN,2003-07,5.31
CN,2003-08,5.31
CN,2003-09,5.31
CN,2003-10,5.31
CN,2003-11,5.31
CN,2003-12,5.31
CN,2004-01,5.31
CN,2004-02,5.31
CN,2004-03,5.31
CN,2004-04,5.31
CN,2004-05,5.31
CN,2004-06,5.31
CN,2004-07,5.31
CN,2004-08,5.31
CN,2004-09,5.31
CN,2004-10,5.58
CN,2004-11,5.58
CN,2004-12,5.58
CN,2005-01,5.58
CN,2005-02,5.58
CN,2005-03,5.58
CN,2005-04,5.58
CN,2005-05,5.58
CN,2005-06,5.58
CN,2005-07,5.58
CN,2005-08,5.58
CN,2005-09,5.58
CN,2005-10,5.58
CN,2005-11,5.58
CN,2005-12,5.58
CN,2006-01,5.58
CN,2006-02,5.58
CN,2006-03,5.58
CN,2006-04,5.85
CN,2006-05,5.85
CN,2006-06,5.85
CN,2006-07,5.85
CN,2006-08,6.12
CN,2006-09,6.12
CN,2006-10,6.12
CN,2006-11,6.12
CN,2006-12,6.12
CN,2007-01,6.12
CN,2007-02,6.12
CN,2007-03,6.39
CN,2007-04,6.39
CN,2007-05,6.57
CN,2007-06,6.57
CN,2007-07,6.84
CN,2007-08,7.02
CN,2007-09,7.29
CN,2007-10,7.29
CN,2007-11,7.29
CN,2007-12,7.47
CN,2008-01,7.47
CN,2008-02,7.47
CN,2008-03,7.47
CN,2008-04,7.47
CN,2008-05,7.47
CN,2008-06,7.47
CN,2008-07,7.47
CN,2008-08,7.47
CN,2008-09,7.2
CN,2008-10,6.66
CN,2008-11,5.58
CN,2008-12,5.31
CN,2009-01,5.31
CN,2009-02,5.31
CN,2009-03,5.31
CN,2009-04,5.31
CN,2009-05,5.31
CN,2009-06,5.31
CN,2009-07,5.31
CN,2009-08,5.31
CN,2009-09,5.31
CN,2009-10,5.31
CN,2009-11,5.31
CN,2009-12,5.31
CN,2010-01,5.31
CN,2010-02,5.31
CN,2010-03,5.31
CN,2010-04,5.31
CN,2010-05,5.31
CN,2010-06,5.31
CN,2010-07,5.31
CN,2010-08,5.31
CN,2010-09,5.31
CN,2010-10,5.56
CN,2010-11,5.56
CN,2010-12,5.81
CN,2011-01,5.81
CN,2011-02,6.06
CN,2011-03,6.06
CN,2011-04,6.31
CN,2011-05,6.31
CN,2011-06,6.31
CN,2011-07,6.56
CN,2011-08,6.56
CN,2011-09,6.56
CN,2011-10,6.56
CN,2011-11,6.56
CN,2011-12,6.56
CN,2012-01,6.56
CN,2012-02,6.56
CN,2012-03,6.56
CN,2012-04,6.56
CN,2012-05,6.56
CN,2012-06,6.31
CN,2012-07,6.0
CN,2012-08,6.0
CN,2012-09,6.0
CN,2012-10,6.0
CN,2012-11,6.0
CN,2012-12,6.0
CN,2013-01,6.0
CN,2013-02,6.0
CN,2013-03,6.0
CN,2013-04,6.0
CN,2013-05,6.0
CN,2013-06,6.0
CN,2013-07,6.0
CN,2013-08,6.0
CN,2013-09,6.0
CN,2013-10,6.0
CN,2013-11,6.0
CN,2013-12,6.0
CN,2014-01,6.0
CN,2014-02,6.0
CN,2014-03,6.0
CN,2014-04,6.0
CN,2014-05,6.0
CN,2014-06,6.0
CN,2014-07,6.0
CN,2014-08,6.0
CN,2014-09,6.0
CN,2014-10,6.0
CN,2014-11,5.6
CN,2014-12,5.6
CN,2015-01,5.6
CN,2015-02,5.6
CN,2015-03,5.35
CN,2015-04,5.35
CN,2015-05,5.1
CN,2015-06,4.85
CN,2015-07,4.85
CN,2015-08,4.6
CN,2015-09,4.6
CN,2015-10,4.35
CN,2015-11,4.35
CN,2015-12,4.35
CN,2016-01,4.35
CN,2016-02,4.35
CN,2016-03,4.35
CN,2016-04,4.35
CN,2016-05,4.35
CN,2016-06,4.35
CN,2016-07,4.35
CN,2016-08,4.35
CN,2016-09,4.35
CN,2016-10,4.35
CN,2016-11,4.35
CN,2016-12,4.35
CN,2017-01,4.35
CN,2017-02,4.35
CN,2017-03,4.35
CN,2017-04,4.35
CN,2017-05,4.35
CN,2017-06,4.35
CN,2017-07,4.35
CN,2017-08,4.35
CN,2017-09,4.35
CN,2017-10,4.35
CN,2017-11,4.35
CN,2017-12,4.35
CN,2018-01,4.35
CN,2018-02,4.35
CN,2018-03,4.35
CN,2018-04,4.35
CN,2018-05,4.35
CN,2018-06,4.35
CN,2018-07,4.35
CN,2018-08,4.35
CN,2018-09,4.35
CN,2018-10,4.35
CN,2018-11,4.35
CN,2018-12,4.35
CN,2019-01,4.35
CN,2019-02,4.35
CN,2019-03,4.35
CN,2019-04,4.35
CN,2019-05,4.35
CN,2019-06,4.35
CN,2019-07,4.35
CN,2019-08,4.25
CN,2019-09,4.2
CN,2019-10,4.2
CN,2019-11,4.15
CN,2019-12,4.15
CN,2020-01,4.15
CN,2020-02,4.05
CN,2020-03,4.05
CN,2020-04,3.85
CN,2020-05,3.85
CN,2020-06,3.85
CN,2020-07,3.85
CN,2020-08,3.85
CN,2020-09,3.85
CN,2020-10,3.85
CN,2020-11,3.85
CN,2020-12,3.85
CN,2021-01,3.85
CN,2021-02,3.85
CN,2021-03,3.85
CN,2021-04,3.85
CN,2021-05,3.85
CN,2021-06,3.85
CN,2021-07,3.85
